                  epoch,             train/loss,               val/loss,              test/loss,metrics/val/accuracy_top1,metrics/val/accuracy_top5,metrics/test/accuracy_top1,metrics/test/accuracy_top5,                   lr/0
                      0,                 2.8469,                  2.082,                 2.0298,                0.64289,                0.88862,                0.65869,                0.89746,              0.0009505
                      1,                 1.7059,                  1.477,                 1.4648,                0.84123,                0.97362,                0.84766,                0.97412,               0.000901
                      2,                 1.4502,                 1.4418,                 1.4069,                0.86419,                0.97264,                0.87451,                0.97559,              0.0008515
                      3,                 1.3589,                 1.3369,                 1.3378,                0.90327,                 0.9829,                0.88623,                0.98145,               0.000802
                      4,                  1.265,                 1.2333,                  1.227,                0.92819,                0.98974,                0.93115,                0.98877,              0.0007525
                      5,                 1.2197,                 1.1349,                  1.144,                0.95164,                0.99267,                0.94824,                 0.9917,               0.000703
                      6,                 1.1714,                 1.1521,                 1.1392,                0.95408,                 0.9917,                 0.9502,                0.99121,              0.0006535
                      7,                 1.1267,                 1.0847,                  1.075,                0.95457,                0.99609,                0.96387,                0.99414,               0.000604
                      8,                 1.0981,                 1.0882,                 1.0747,                0.95701,                0.99365,                0.96045,                0.99463,              0.0005545
                      9,                 1.0845,                 1.0769,                 1.0763,                0.95848,                0.99414,                0.96289,                0.99414,               0.000505
                     10,                 1.0674,                 1.0373,                 1.0276,                0.97118,                 0.9956,                0.97266,                0.99512,              0.0004555
                     11,                  1.046,                 1.0466,                 1.0478,                0.96971,                0.99609,                0.97119,                0.99512,               0.000406
                     12,                 1.0303,                  1.007,                  1.008,                0.97362,                0.99609,                 0.9751,                0.99561,              0.0003565
                     13,                 1.0017,                 1.0119,                0.99933,                0.97411,                0.99707,                0.97949,                0.99707,               0.000307
                     14,                 0.9919,                 1.0058,                 1.0033,                0.97753,                0.99658,                0.97803,                0.99658,              0.0002575
                     15,                0.97549,                0.99241,                0.98932,                0.97948,                0.99707,                0.97803,                0.99658,               0.000208
                     16,                0.95659,                0.98001,                 0.9796,                0.98046,                0.99707,                0.98145,                0.99609,              0.0001585
                     17,                0.95023,                0.97143,                0.97178,                0.97997,                0.99707,                0.98389,                0.99658,               0.000109
                     18,                0.93806,                 0.9696,                0.96818,                 0.9829,                0.99707,                0.98096,                0.99658,               5.95e-05
                     19,                0.93305,                0.96492,                0.96323,                0.98144,                0.99707,                0.98291,                0.99707,                  1e-05
